ID,Computer Science,Physics,Mathematics,Statistics,Quantitative Biology,Quantitative Finance
20973,0.0,1.0,0.0,0.0,0.0,0.0
20974,1.0,0.0,0.0,1.0,0.0,0.0
20975,0.0,0.0,0.0,0.0,0.0,0.0
20976,0.0,1.0,0.0,0.0,0.0,0.0
20977,1.0,0.0,1.0,0.0,0.0,0.0
20978,1.0,0.0,0.0,1.0,0.0,0.0
20979,1.0,0.0,0.0,1.0,0.0,0.0
20980,0.0,1.0,0.0,0.0,0.0,0.0
20981,0.0,1.0,0.0,0.0,0.0,0.0
20982,0.0,0.0,1.0,0.0,0.0,0.0
20983,0.0,1.0,0.0,0.0,0.0,0.0
20984,0.0,0.0,1.0,0.0,0.0,0.0
20985,1.0,0.0,0.0,1.0,0.0,0.0
20986,1.0,0.0,0.0,1.0,0.0,0.0
20987,1.0,0.0,0.0,0.0,0.0,0.0
20988,1.0,0.0,0.0,1.0,0.0,0.0
20989,1.0,0.0,0.0,1.0,0.0,0.0
20990,1.0,0.0,0.0,1.0,0.0,0.0
20991,1.0,0.0,0.0,1.0,0.0,0.0
20992,1.0,0.0,0.0,1.0,0.0,0.0
20993,1.0,0.0,0.0,0.0,0.0,0.0
20994,0.0,0.0,1.0,0.0,0.0,0.0
20995,0.0,0.0,0.0,0.0,0.0,0.0
20996,0.0,0.0,0.0,0.0,0.0,0.0
20997,1.0,0.0,0.0,1.0,0.0,0.0
20998,0.0,0.0,0.0,1.0,0.0,0.0
20999,1.0,0.0,0.0,1.0,0.0,0.0
21000,1.0,0.0,0.0,1.0,0.0,0.0
21001,1.0,0.0,0.0,0.0,0.0,0.0
21002,1.0,0.0,0.0,0.0,0.0,0.0
21003,0.0,0.0,1.0,1.0,0.0,0.0
21004,0.0,0.0,1.0,0.0,0.0,0.0
21005,0.0,0.0,1.0,0.0,0.0,0.0
21006,1.0,0.0,0.0,1.0,0.0,0.0
21007,0.0,0.0,1.0,0.0,0.0,0.0
21008,0.0,0.0,0.0,1.0,0.0,0.0
21009,0.0,0.0,1.0,1.0,0.0,0.0
21010,0.0,0.0,0.0,1.0,0.0,0.0
21011,0.0,0.0,0.0,0.0,0.0,0.0
21012,1.0,0.0,0.0,1.0,0.0,0.0
21013,0.0,0.0,1.0,0.0,0.0,0.0
21014,1.0,0.0,0.0,0.0,0.0,0.0
21015,1.0,0.0,0.0,0.0,0.0,0.0
21016,1.0,0.0,0.0,0.0,0.0,0.0
21017,0.0,0.0,1.0,1.0,0.0,0.0
21018,1.0,0.0,0.0,0.0,0.0,0.0
21019,0.0,1.0,0.0,0.0,0.0,0.0
21020,0.0,0.0,0.0,1.0,0.0,0.0
21021,0.0,1.0,0.0,0.0,0.0,0.0
21022,1.0,0.0,0.0,1.0,0.0,0.0
21023,0.0,1.0,0.0,0.0,0.0,0.0
21024,1.0,0.0,0.0,0.0,0.0,0.0
21025,0.0,1.0,0.0,0.0,0.0,0.0
21026,1.0,0.0,0.0,0.0,0.0,0.0
21027,0.0,0.0,1.0,0.0,0.0,0.0
21028,1.0,0.0,0.0,0.0,0.0,0.0
